mnxr	stratum	verdict	detail	prompt_tokens	completion_tokens
MNXR171473	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 14 column 17 (char 1324); usage=Usage(prompt_tokens=2912, completion_tokens=1024, seconds=95.94286239999929)"]	0	0
MNXR193828	no_lever	balanced	{}	3174	199
MNXR168241	movable	unusable	["id MNXM1089934 has no structure in MetaNetX"]	3164	442
MNXR162565	movable	unbalanced	{"C": -14.0, "P": -3.0, "O": -13.0, "N": -5.0}	2822	360
MNXR136172	movable	unbalanced	{"C": 2.0, "O": 2.0}	2765	510
MNXR135534	movable	unbalanced	{"C": -1.0, "*": 1.0}	2811	225
MNXR129880	movable	unbalanced	{"N": -5.0, "C": -15.0}	2778	629
MNXR202289	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 17 column 17 (char 1248); usage=Usage(prompt_tokens=2908, completion_tokens=1024, seconds=94.63517055800185)"]	0	0
MNXR130280	movable	unusable	["smiles 'CC1=CN(C2O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H]2O)C=C1' unparseable"]	2763	310
MNXR176025	movable	unbalanced	{"C": 1.0, "O": 3.0}	2717	269
MNXR195293	movable	refused	["No structure-carrying participants are available to rewrite the reaction with concrete chemistry."]	2712	52
MNXR163179	movable	balanced	{}	2902	657
MNXR172271	movable	unbalanced	{"C": -4.0, "O": -4.0}	2790	360
MNXR143669	movable	unbalanced	{"C": 1.0, "O": 1.0}	2695	969
MNXR178407	movable	unbalanced	{"C": 11.0, "O": 2.0, "N": 2.0}	2698	299
MNXR135799	movable	unbalanced	{"C": 11.0, "P": 1.0, "O": 7.0, "N": 3.0, "*": 2.0}	2786	188
MNXR103075	movable	balanced	{}	2740	460
MNXR182739	one_sided	refused	["The reaction has no participants and cannot be rewritten into a balanced, concrete form."]	2559	52
MNXR176450	movable	unbalanced	{"*": -1.0}	2916	181
MNXR177733	movable	unusable	["id MNXM7207 has no structure in MetaNetX"]	2737	376
MNXR133593	movable	unbalanced	{"P": -1.0, "O": -3.0}	2828	402
MNXR131767	movable	unbalanced	{"O": 1.0}	2782	359
MNXR131819	movable	balanced	{}	2782	336
MNXR157737	movable	unbalanced	{"C": 31.0, "O": 1.0}	2772	436
MNXR160620	movable	unbalanced	{"S": -1.0, "N": -7.0, "C": -15.0, "P": -3.0, "O": -11.0}	2841	540
MNXR204787	movable	unbalanced	{"S": 11.0, "C": 253.0, "P": 33.0, "O": 187.0, "N": 77.0}	3481	255
MNXR120867	movable	unbalanced	{"S": -1.0, "C": -9.0, "O": -4.0, "N": -1.0, "*": -2.0}	2835	263
MNXR207142	one_sided	refused	["The reaction has no participants and cannot be rewritten into a balanced, concrete form."]	2559	52
MNXR180758	movable	unbalanced	{"C": -23.0, "O": -3.0}	2947	388
MNXR166418	movable	balanced	{}	2761	291
MNXR136329	movable	unbalanced	{"C": -1.0, "O": -2.0}	2937	416
MNXR144729	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 43 column 17 (char 1256); usage=Usage(prompt_tokens=3528, completion_tokens=568, seconds=53.96275505499216)"]	0	0
MNXR131378	movable	balanced	{}	2702	233
MNXR143155	movable	unbalanced	{"C": 3.0, "O": 1.0}	2839	571
MNXR137514	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 31 column 17 (char 1665); usage=Usage(prompt_tokens=2760, completion_tokens=1024, seconds=96.18895860700286)"]	0	0
MNXR132384	movable	unbalanced	{"N": -1.0, "C": 6.0}	2755	311
MNXR131810	movable	unbalanced	{"N": -1.0, "C": -6.0, "O": -3.0}	2832	415
MNXR170670	movable	unbalanced	{"C": -1.0}	2842	762
MNXR134870	movable	balanced	{}	2689	317
MNXR123189	no_lever	balanced	{}	3167	136
MNXR157964	movable	unusable	["smiles 'C1CCCCCCCCCCCCCOP(=O)(O)OP(=O)(O)O' unparseable", "smiles 'C1CCCCCCCCCCCCCOP(=O)(O)OP(=O)(O)O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO' unparseable"]	2839	644
MNXR155757	movable	unusable	["smiles 'O[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1OC(=O)CCCC/C=C\\x0cfffffff' unparseable"]	2780	546
MNXR167171	movable	unbalanced	{"C": -12.0, "O": -3.0, "N": -4.0}	2922	400
MNXR192810	movable	refused	["All participants lack structure and cannot be resolved to concrete chemistry."]	2707	44
MNXR194936	movable	refused	["All participants are structureless and represent protein complexes with no defined chemistry to balance."]	2681	52
MNXR102748	movable	unbalanced	{"C": 1.0, "P": -1.0, "O": -3.0}	2840	522
MNXR178355	movable	refused	["No structure is available for either participant, and both are acyl-CoA derivatives with no concrete chemistry to preser"]	2644	59
MNXR146426	movable	balanced	{}	2986	426
MNXR115489	movable	unbalanced	{"N": -19.0, "C": -63.0, "O": -25.0}	2995	510
MNXR172999	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 14 column 17 (char 1270); usage=Usage(prompt_tokens=2798, completion_tokens=1024, seconds=97.81230797801982)"]	0	0
MNXR182989	movable	unbalanced	{"C": 8.0, "O": 5.0, "N": 1.0}	2912	647
MNXR100507	movable	unbalanced	{"C": 6.0, "P": -2.0, "O": -1.0}	2794	350
MNXR130153	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 9 column 24 (char 1119); usage=Usage(prompt_tokens=2734, completion_tokens=1024, seconds=98.76684051100165)"]	0	0
MNXR173729	movable	unbalanced	{"C": 2.0, "*": -4.0, "O": -1.0}	2706	217
MNXR206347	no_lever	balanced	{}	2810	133
MNXR132206	movable	unbalanced	{"O": 1.0}	2732	389
MNXR102732	movable	unbalanced	{"C": -4.0, "P": -1.0, "O": -3.0}	2818	385
MNXR97291	movable	unbalanced	{"O": 1.0}	2958	446
MNXR169521	movable	balanced	{}	2916	341
MNXR159858	movable	unbalanced	{"N": 2.0, "C": 121.0, "P": 2.0, "O": 93.0}	3178	342
MNXR187417	movable	unusable	["id MNXM1105930 has no structure in MetaNetX", "id MNXM1107626 has no structure in MetaNetX"]	2905	398
MNXR96534	movable	unbalanced	{"O": 1.0}	2815	441
MNXR158044	movable	unbalanced	{"C": 1.0, "O": 1.0}	2956	449
MNXR136635	movable	refused	["All participants lack structure and cannot be concretized without inventing chemistry"]	2685	47
MNXR177811	movable	unbalanced	{"C": 2.0, "O": 3.0}	3005	308
MNXR132930	movable	balanced	{}	2959	231
MNXR153737	movable	refused	["All participants lack structure and cannot be concretized without inventing chemistry"]	2697	47
MNXR136535	movable	unbalanced	{"P": 1.0, "O": 3.0}	2784	300
MNXR165598	movable	unbalanced	{"C": -1.0, "O": -2.0}	2804	336
MNXR204141	no_lever	balanced	{}	3232	153
MNXR130138	movable	unbalanced	{"C": 2.0, "O": 3.0}	2734	478
MNXR162885	movable	unbalanced	{"O": 1.0}	2768	368
MNXR101302	movable	unbalanced	{"C": 8.0, "O": 5.0, "N": 1.0}	2870	331
MNXR135978	movable	unbalanced	{"C": 1.0, "P": -1.0, "*": 1.0, "O": -2.0}	2759	459
MNXR132173	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 15 column 17 (char 1332); usage=Usage(prompt_tokens=2772, completion_tokens=1024, seconds=97.10641058001784)"]	0	0
MNXR159952	movable	unbalanced	{"C": -51.0, "P": -2.0, "O": -4.0}	2815	413
MNXR144859	movable	unusable	["smiles '[*]C(=O)OC[C@H](COP(=O)([O-])O[C@@H]1[C@H](O)[C@H](OP(=O)([O-])[O-])[C@@H](O)[C@H](OP( =O)([O-])[O-])[C@H]1O)OC([*])=O' unparseable"]	2837	382
MNXR143162	movable	unbalanced	{"C": 11.0, "P": 1.0, "O": 12.0}	2924	461
MNXR130706	movable	balanced	{}	2728	257
MNXR200925	movable	unusable	["smiles 'NC1COP(=O)(O)OP(=O)(O)OC2C(CO)OC(N3C=NC4=C3N=CN=C4N)C2O' unparseable", "smiles 'NC1COP(=O)(O)OP(=O)(O)OC2C(CO)OC(N3C=NC4=C3N=CN=C4N)C2OCC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](N3C=NC4=C3N=CN=C4N)[C@H](O)[C@@H]1O)C1=NC(=O)NC(=O)C1=N2' unparseable"]	2836	646
MNXR134843	movable	unbalanced	{"C": -1.0, "O": -1.0}	3330	270
MNXR194917	movable	unbalanced	{"S": 1.0, "C": -6.0, "P": -1.0, "O": -9.0}	2718	236
MNXR186792	movable	unbalanced	{"C": 11.0, "P": 1.0, "O": 7.0, "N": 3.0, "*": 2.0}	2814	202
MNXR178426	movable	balanced	{}	2721	108
MNXR135308	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 12 column 34 (char 1244); usage=Usage(prompt_tokens=2789, completion_tokens=1024, seconds=97.38826227799291)"]	0	0
MNXR179929	movable	unbalanced	{"N": -11.0, "C": -3.0, "P": -3.0, "*": -1.0, "O": -6.0}	2812	540
MNXR132301	movable	unbalanced	{"P": -1.0, "O": -2.0, "N": -1.0}	2830	674
MNXR155848	movable	unbalanced	{"C": 4.0, "O": 3.0}	3157	362
MNXR136450	movable	unbalanced	{"C": -6.0, "O": -5.0}	2746	406
MNXR174044	movable	unbalanced	{"C": -2.0, "O": -1.0}	2947	212
MNXR156163	movable	unbalanced	{"S": 1.0, "C": -5.0, "O": -4.0, "N": -3.0}	2763	254
MNXR129945	movable	unusable	["harness: BadJSON: Expecting value: line 16 column 13 (char 1637); usage=Usage(prompt_tokens=2778, completion_tokens=1024, seconds=98.29076524800621)"]	0	0
MNXR130807	movable	unbalanced	{"N": -1.0, "C": -1.0, "O": 1.0}	2728	215
MNXR183069	movable	balanced	{}	2760	349
MNXR193823	no_lever	balanced	{}	2675	108
MNXR157729	movable	unusable	["smiles 'OC[C@H](O1)[C@@H](O)[C@H](O)[C@@H](O)C1=O[C@H](COC(=O)CCCCCCCCCCCCC(C)CCCCC)COC(=O)CCCCCC=CCCCC(C)CCCCC' unparseable", "smiles 'OC[C@H](O1)[C@@H](O)[C@H](O)[C@@H](O)C1=O[C@H](COC(=O)CCCCCC=CCCCC(C)CCCCC)COC(=O)CCCCCCCCCCCCC(C)CCCCC' unparseable", "smiles 'OC[C@H](O1)[C@@H](O)[C@H](O)[C@@H](O)C1=O[C@H](COC(=O)CCCCCC)COC(=O)CCCCCCCCCCCCC(C)CCCCC' unparseable"]	3017	787
MNXR141411	movable	unusable	["smiles 'O=C1CC[C@@H](NC1=CC=C([N+](=O)[O-])C=C1)C(=O)[O-]' unparseable"]	2748	313
MNXR173101	movable	unbalanced	{"C": 3.0, "O": 3.0, "*": -3.0}	2980	369
MNXR165412	movable	balanced	{}	2822	366
MNXR129454	movable	unbalanced	{"C": 1.0}	2741	253
MNXR170983	movable	unbalanced	{"C": -8.0, "O": -1.0}	3474	442
MNXR133907	movable	balanced	{}	2697	208
MNXR102752	movable	unbalanced	{"P": -1.0, "O": -3.0}	2840	403
MNXR133050	movable	unbalanced	{"O": 1.0}	2940	362
MNXR168286	movable	unbalanced	{"C": 1.0, "O": 1.0}	2900	433
MNXR179104	movable	unbalanced	{"C": 3.0, "P": -1.0, "O": -3.0}	2788	380
MNXR173478	movable	unbalanced	{"C": 6.0, "*": -2.0, "O": 6.0}	2649	306
MNXR160599	movable	unbalanced	{"C": 2.0, "O": 2.0}	2742	401
MNXR168689	movable	unbalanced	{"S": -1.0, "C": -7.0, "O": -1.0}	2849	438
MNXR114618	movable	refused	["All participants lack structure and cannot be concretized without inventing chemistry"]	2705	47
MNXR185193	movable	unbalanced	{"C": 7.0, "P": 1.0, "O": 6.0, "N": 1.0, "*": 2.0}	3071	241
MNXR194624	movable	unbalanced	{"C": 1.0, "O": 1.0}	2771	376
MNXR132188	movable	unbalanced	{"C": -34.0, "O": -30.0}	2844	837
MNXR205517	movable	unbalanced	{"S": 10.0, "C": 230.0, "P": 31.0, "O": 173.0, "N": 70.0}	3470	442
MNXR177853	movable	unbalanced	{"C": 3.0, "O": 2.0}	3019	301
MNXR130708	movable	balanced	{}	2716	306
MNXR192045	movable	unusable	["smiles '[H]O[P](=O)(O[P](=O)(OCC1OC(NC(C)=O)C(O)C(O)C1O)OCCN([H])C(=O)C(C)(C)C)(OCC(=O)O[H])O[H]' unparseable", "smiles '[H]O[P](=O)(O[P](=O)(OCC1OC(O)C(O)C(O)C1O)OCCN([H])C(=O)C(C)(C)C)(OCC(=O)O[H])O[H]' unparseable"]	2749	567
MNXR137319	movable	unbalanced	{"C": -4.0}	2718	341
MNXR144858	movable	unbalanced	{"C": -19.0, "O": 4.0}	2866	446
MNXR203802	movable	unbalanced	{"C": 2.0, "P": 2.0, "O": 8.0, "N": 1.0}	2810	596
MNXR155287	movable	unusable	["smiles 'O[C@H]1[C@H](O)[C@@H](O)[C@H](CO[P](O)(O)=O)O[P](O)(O)=O[C@H]2[C@H](O)[C@@H](O)[C@H](CO[P](O)(O)=O)O2' unparseable"]	2800	682
MNXR135879	movable	unbalanced	{"C": 20.0, "O": 2.0}	2842	514
MNXR174281	movable	unbalanced	{"C": -5.0, "O": -5.0}	2926	266
MNXR131062	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 15 column 17 (char 1313); usage=Usage(prompt_tokens=2728, completion_tokens=1024, seconds=94.82909543099231)"]	0	0
MNXR172777	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 20 column 23 (char 1691); usage=Usage(prompt_tokens=2699, completion_tokens=1024, seconds=96.05146213600528)"]	0	0
MNXR194722	movable	balanced	{}	2725	241
MNXR172758	movable	refused	["The reaction only describes the formation of an enzyme-ligand complex without any chemical transformation; no bonds are "]	2687	66
MNXR130176	movable	balanced	{}	2969	295
MNXR130238	movable	balanced	{}	2751	253
MNXR195303	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 15 column 17 (char 1670); usage=Usage(prompt_tokens=2752, completion_tokens=1024, seconds=95.56762564598466)"]	0	0
MNXR166829	movable	balanced	{}	2886	320
MNXR133868	movable	balanced	{}	2995	292
MNXR130793	movable	balanced	{}	2762	490
MNXR190766	movable	unbalanced	{"C": 47.0, "O": 8.0, "N": 11.0, "Co": 1.0}	2988	548
MNXR130481	movable	refused	["All participants are structureless and represent complexes or proteins without concrete chemistry to balance."]	2665	52
MNXR199357	no_lever	unusable	["harness: SchemaRejected: {\"error\":{\"code\":400,\"message\":\"request (4662 tokens) exceeds the available context size (4096 tokens), try increasing it\",\"type\":\"exceed_context_size_error\",\"n_prompt_tokens\":4662,\"n_ctx\":4096}}"]	0	0
MNXR197340	movable	unbalanced	{"C": 2.0, "O": -4.0}	2672	363
MNXR131272	movable	unusable	["smiles 'O=S(=O)(c1ccc(NC(=O)C[C@H]1CC)nn1)C(=O)NC[C@H](C(=O)O)N' unparseable", "smiles 'O=S(=O)(c1ccc(NC(=O)C[C@H]1CC)nn1)C(=O)NC[C@H](C(=O)O)NC[C@H]([NH3+])C(=O)[O-]' unparseable"]	2715	455
MNXR131946	movable	unbalanced	{"N": 1.0, "C": 5.0, "O": -1.0}	2674	326
MNXR135746	movable	unbalanced	{"C": -14.0}	2794	419
MNXR133610	movable	unbalanced	{"C": -1.0, "O": -1.0}	2898	261
MNXR178173	movable	refused	["All participants are structureless and cannot be replaced with concrete chemistry based on the given information."]	2717	50
MNXR130754	movable	unusable	["smiles 'O=C(C1(C(=O)O)CC1)=O' unparseable"]	2940	359
MNXR180512	movable	unbalanced	{"C": 1.0}	2808	271
MNXR166332	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 15 column 17 (char 1182); usage=Usage(prompt_tokens=2941, completion_tokens=1024, seconds=97.44367949501611)"]	0	0
MNXR148402	movable	unbalanced	{"C": -1.0, "O": -1.0}	2732	238
MNXR160575	movable	unbalanced	{"N": 3.0, "C": 9.0, "O": 4.0}	2844	471
MNXR136511	movable	refused	["All participants are structureless and cannot be replaced with concrete structures without inventing chemistry."]	2697	53
MNXR155361	movable	unusable	["id MNXM1094420 has no structure in MetaNetX", "smiles 'O[C@H]1[C@H](O)COP(=O)(O)OP(=O)(O)O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]2O' unparseable"]	2812	546
MNXR170490	movable	unbalanced	{"C": -1.0}	2864	452
MNXR131014	movable	balanced	{}	2968	265
MNXR131998	movable	unusable	["smiles 'CC(C)=C(=O)NCCS(C)(=O)=O' unparseable"]	2919	335
MNXR154598	movable	unbalanced	{"C": -1.0}	2870	224
MNXR178366	movable	unbalanced	{"S": 1.0, "C": -4.0, "O": -3.0}	2741	305
MNXR100930	one_sided	refused	["No reaction equation was provided; cannot proceed without chemistry to rewrite."]	2559	49
MNXR138664	movable	unusable	["smiles 'C1CCCCCCCCCCCCCCCCCOP(=O)(O)OP(=O)(O)OC2OC(CO)C(O)C(CO)C2O' unparseable", "smiles 'C1CCCCCCCCCCCCCCCCCOP(=O)(O)OP(=O)(O)OC2OC(CO)C(O)C(CO)C2O' unparseable"]	2823	651
MNXR180762	movable	unbalanced	{"O": 1.0}	3015	416
MNXR183807	movable	unbalanced	{"C": 7.0, "P": 1.0, "O": 4.0, "N": 2.0, "*": 2.0}	2987	221
MNXR178442	movable	refused	["The reaction involves structureless complexes (CPLX0-7618 and G7137-MONOMER) that cannot be replaced with concrete struc"]	2679	144
MNXR171661	movable	unbalanced	{"C": -2.0, "O": -2.0, "N": -1.0}	2865	451
MNXR194935	movable	refused	["All participants are structureless and represent a protein-ligand complex with no chemical transformation or atom moveme"]	2681	59
MNXR117631	movable	unbalanced	{"S": -1.0, "C": -2.0, "*": 1.0}	2734	173
MNXR130636	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 25 column 17 (char 1515); usage=Usage(prompt_tokens=2778, completion_tokens=1024, seconds=96.438531546999)"]	0	0
MNXR105302	movable	unbalanced	{"S": -1.0, "C": -11.0, "O": -3.0, "N": -5.0}	2800	297
MNXR153074	movable	refused	["All participants lack structure and cannot be concretized without inventing chemistry"]	2701	47
MNXR135967	movable	unbalanced	{"*": 1.0}	2760	387
MNXR178477	movable	unbalanced	{"P": -1.0, "O": -3.0}	2814	292
MNXR95593	movable	unbalanced	{"C": 16.0, "O": -1.0}	2956	380
MNXR159625	movable	unusable	["smiles 'O[C@H]1[C@H](O)[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)C(O)=O' unparseable", "smiles 'O[C@H]1[C@H](O)[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)C(O)=O' unparseable"]	2719	428
MNXR133840	movable	balanced	{}	2761	371
MNXR165672	movable	unbalanced	{"O": 1.0, "N": -1.0}	3036	344
MNXR135972	movable	unbalanced	{"C": 1.0}	2776	281
MNXR108003	movable	unbalanced	{"S": -1.0, "N": -7.0, "C": -20.0, "P": -3.0, "O": -15.0}	2742	167
MNXR137821	movable	balanced	{}	2952	374
MNXR189375	movable	unbalanced	{"O": 3.0}	2725	258
MNXR173035	movable	balanced	{}	2804	321
MNXR145179	movable	unusable	["smiles 'C1=C(C=CC=C1)N+' unparseable"]	2787	334
MNXR137783	movable	unbalanced	{"C": 6.0, "P": -3.0, "O": -4.0}	2862	475
MNXR130140	movable	unusable	["smiles 'Nc1ccc(c(=O)[O-])cc1' unparseable", "smiles 'O=C(OC[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O)c1ccc(N)c(c1)C(=O)Nc1ccc(c(=O)[O-])cc1' unparseable"]	2734	536
MNXR202266	one_sided	refused	["The reaction has no participants and cannot be rewritten into a balanced, concrete form."]	2559	52
MNXR179221	movable	unusable	["smiles 'O[C@H](CO[C@H](COP(O)(O)=O)CO' unparseable"]	2706	353
MNXR137677	movable	unbalanced	{"O": 1.0}	2867	299
MNXR99507	one_sided	refused	["The reaction has no participants and cannot be rewritten into a balanced, concrete form."]	2558	52
MNXR172478	movable	unbalanced	{"S": 1.0, "C": 12.0, "O": 10.0}	2823	681
MNXR153428	movable	balanced	{}	2669	320
MNXR157526	movable	unbalanced	{"N": 2.0, "C": 3.0, "O": 1.0}	2734	323
MNXR131306	movable	unusable	["smiles 'O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)C=C1FCC(C)[C@H](N)C(=O)O' unparseable"]	2754	309
MNXR135068	movable	unbalanced	{"C": 1.0}	2939	402
MNXR166707	movable	unbalanced	{"C": 1.0, "O": 1.0}	2874	327
MNXR184363	movable	unbalanced	{"C": -18.0, "P": -2.0, "O": -14.0, "N": -4.0, "*": -4.0}	2968	188
MNXR132110	movable	unbalanced	{"C": -1.0}	2998	350
MNXR144935	movable	unbalanced	{"C": -12.0, "O": -9.0, "N": -1.0, "*": -2.0}	2966	226
MNXR172088	movable	refused	["Actin and its dimer are structureless and represent polymers or complexes with no defined chemistry; cannot be made conc"]	2828	121
MNXR135707	movable	unbalanced	{"C": -16.0}	2937	404
MNXR194536	movable	unbalanced	{"O": -1.0}	2811	476
MNXR202058	movable	unbalanced	{"N": 1.0, "O": -1.0}	2713	428
MNXR130959	movable	balanced	{}	2935	220
MNXR174101	movable	unbalanced	{"C": -12.0, "*": 2.0, "O": -10.0}	2755	572
MNXR133132	movable	unbalanced	{"N": 7.0, "C": 12.0, "P": 2.0, "O": 9.0}	2698	194
MNXR178218	no_lever	unbalanced	{"N": 1.0, "C": 5.0, "O": 2.0}	2654	90
MNXR159963	movable	unusable	["id MNXM1092137 has no structure in MetaNetX", "id MNXM1092345 has no structure in MetaNetX"]	3180	349
MNXR194800	movable	refused	["All participants are structureless and no concrete chemistry is preserved in the reaction as written."]	2673	49
MNXR162948	movable	unusable	["smiles 'O[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@H]2[C@H](O)[C@@H](O)C(O)N3C(=O)NC4=CC=CC=C43)[C@H]1O' unparseable"]	2923	339
MNXR165648	movable	unbalanced	{"O": 1.0}	2784	396
MNXR204460	no_lever	balanced	{}	3126	154
MNXR158128	movable	unbalanced	{"C": -1.0, "O": 7.0}	3069	334
MNXR160020	movable	unusable	["id MNXM1092160 has no structure in MetaNetX", "id MNXM1092368 has no structure in MetaNetX"]	3174	348
MNXR145995	movable	unbalanced	{"S": 1.0, "C": -13.0, "P": -3.0, "O": -15.0, "N": -5.0}	2787	400
MNXR96025	movable	unbalanced	{"S": 1.0, "C": 45.0, "P": 3.0, "O": 17.0, "N": 7.0}	3360	449
MNXR131671	movable	unbalanced	{"C": -2.0}	2762	890
MNXR178430	movable	unbalanced	{"C": -1.0, "O": -1.0}	2713	235
MNXR145029	movable	refused	["All participants lack structure and cannot be concretized without inventing chemistry"]	2751	47
MNXR132969	movable	unbalanced	{"C": -2.0}	2720	525
MNXR133178	movable	unbalanced	{"C": 1.0, "O": 2.0}	2739	593
MNXR170403	movable	unusable	["id MNXM1088874 has no structure in MetaNetX", "id MNXM1088970 has no structure in MetaNetX"]	3202	176
MNXR199070	movable	unbalanced	{"C": -5.0, "O": -2.0, "N": -1.0}	2899	370
MNXR117468	movable	refused	["The reaction involves a protein complex with no structure on either side; no concrete chemistry is visible."]	2688	55
MNXR168367	movable	unbalanced	{"C": -5.0, "O": 1.0, "N": -4.0}	2944	347
MNXR101837	movable	unbalanced	{"N": -1.0, "S": -1.0, "C": -8.0, "O": -8.0}	2777	536
MNXR172345	movable	unusable	["smiles 'N[C@@H](CC(=O)N[C@@H](C(=O)N[C@@H](CC(=O)N[C@@H](CCC(=O)N[C@@H](C(=O)N)C(N)=O)C(N)=O)C(N)=O)C(N)=O' unparseable"]	2714	592
MNXR183785	movable	unbalanced	{"C": -11.0, "P": -1.0, "O": -7.0, "N": -3.0, "*": -2.0}	2913	194
MNXR132149	movable	unbalanced	{"S": -1.0, "C": -6.0, "O": -3.0, "N": -1.0, "*": -1.0}	2776	410
MNXR132375	movable	unusable	["id MNXM167685 has no structure in MetaNetX", "id MNXM167687 has no structure in MetaNetX"]	2732	340
MNXR103302	movable	unbalanced	{"O": -3.0, "N": 1.0}	2765	434
MNXR182555	movable	unbalanced	{"C": 8.0, "P": 3.0, "O": 15.0, "N": -6.0, "*": 4.0}	2963	273
MNXR141728	movable	balanced	{}	2825	408
MNXR172241	movable	unbalanced	{"C": 11.0, "O": 8.0, "N": 1.0}	2844	459
MNXR158025	movable	balanced	{}	2924	383
MNXR144846	movable	unusable	["harness: BadJSON: Expecting value: line 24 column 12 (char 677); usage=Usage(prompt_tokens=3799, completion_tokens=297, seconds=29.6470772199973)"]	0	0
MNXR159250	movable	unbalanced	{"C": 3.0, "O": 3.0}	2957	752
MNXR137567	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 35 column 17 (char 1647); usage=Usage(prompt_tokens=2712, completion_tokens=1024, seconds=95.43981338400044)"]	0	0
MNXR180452	movable	unbalanced	{"N": 1.0, "C": -35.0, "O": -5.0}	2759	213
MNXR160825	movable	unusable	["smiles 'CC(C)=O.CCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)[O-][P-](=O)(O)O[C@@H]1[C@H](O)[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@H]1O' unparseable"]	2982	511
MNXR131200	movable	unbalanced	{"C": -1.0, "O": -1.0, "*": 1.0}	3041	539
MNXR132042	movable	unbalanced	{"O": -2.0}	2739	349
MNXR96860	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 14 column 15 (char 1072); usage=Usage(prompt_tokens=2891, completion_tokens=1024, seconds=97.31603689101757)"]	0	0
MNXR145991	movable	unusable	["smiles 'O=P([O-])([O-])O[C@H]1COC(=O)CCCCCCCCCCC=CCCCCCCCCCCC=O[C@H]1COP(=O)([O-])[O-]' unparseable"]	2812	563
MNXR179106	movable	unbalanced	{"C": -1.0, "N": 1.0}	2716	363
MNXR131133	movable	unbalanced	{"C": -1.0}	2917	356
MNXR102384	movable	unbalanced	{"C": -18.0, "O": -1.0, "*": 2.0}	2809	372
MNXR134948	movable	unbalanced	{"C": -19.0, "P": -3.0, "O": -14.0, "N": -5.0}	2793	352
MNXR130848	movable	unbalanced	{"C": 5.0}	2753	365
MNXR133571	movable	unbalanced	{"C": -1.0}	3002	430
MNXR153323	movable	unbalanced	{"C": 20.0}	2807	418
MNXR130133	movable	unbalanced	{"N": -1.0, "C": -2.0, "O": -2.0}	2736	480
MNXR101387	movable	balanced	{}	2739	544
MNXR178591	movable	unbalanced	{"C": 4.0, "O": 3.0, "*": 2.0}	2874	216
MNXR143122	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 26 column 7 (char 485); usage=Usage(prompt_tokens=3900, completion_tokens=196, seconds=20.207788011000957)"]	0	0
MNXR157619	movable	balanced	{}	3021	651
MNXR157770	movable	unbalanced	{"O": -1.0}	2814	255
MNXR102128	movable	unbalanced	{"C": 6.0, "O": 5.0}	2840	571
MNXR159034	movable	unbalanced	{"C": 1.0, "O": 1.0}	2941	689
MNXR203318	movable	unusable	["harness: BadJSON: Unterminated string starting at: line 20 column 17 (char 1800); usage=Usage(prompt_tokens=2854, completion_tokens=1024, seconds=97.06091242900584)"]	0	0
MNXR135864	movable	unbalanced	{"C": -13.0}	2722	345
MNXR194633	movable	balanced	{}	2735	309
MNXR155720	movable	unbalanced	{"C": 2.0, "O": 1.0}	2890	297
MNXR109940	movable	unbalanced	{"C": 5.0, "O": 5.0, "N": -1.0, "*": 2.0}	2779	456
MNXR101194	movable	unbalanced	{"C": 1.0}	2795	278
MNXR147935	movable	unbalanced	{"N": 1.0, "O": -2.0}	2668	332
MNXR174333	movable	unbalanced	{"C": 15.0, "P": 2.0, "O": 13.0, "N": 5.0, "*": 2.0}	3034	361
MNXR147476	movable	unbalanced	{"C": 12.0, "O": 10.0}	2870	486
